index,country,Date,population_growth_annual_percent,population_total,population_density_per_square_km,total_gdp_us_inflation_adjusted,gdppercapita_us_inflation_adjusted,children_and_elderly_per_100_adults,life_expectancy_years,child_mortality_0_5_year_olds_dying_per_1000_born,gdp_total_yearly_growth
364,Benin,2003,1.1817584392203195,-0.42593437946813595,-0.28102717062293064,-0.3714454773501875,-0.6177307055002816,1.0487748845375937,-0.8503859398361638,0.9517236380502352,0.23915593588093872
365,Benin,2004,1.154932169889918,-0.4194815786901377,-0.26971946560901205,-0.37105884256691957,-0.6171290444287938,1.0011043775512396,-0.8090022830670741,0.8769638284287822,0.07439134128002203
366,Benin,2005,1.101279631229116,-0.41302877791213943,-0.2578463753443976,-0.3709196540449431,-0.6177307055002816,0.9481371475664019,-0.7572727121057119,0.8171559807316197,0.025806909538726077
367,Benin,2006,1.056569182345114,-0.40629542057857604,-0.24597328507978303,-0.37056395004433657,-0.6172627468891244,0.9269502555724672,-0.7158890553366223,0.7723000949587479,0.1314252394111086
368,Benin,2007,1.011858733461112,-0.3998426198005778,-0.23410019481516856,-0.37000719595643067,-0.6157920198254874,0.8951699175815642,-0.6745053985675326,0.7274442091858759,0.3173134999865018
369,Benin,2008,0.9850324641307107,-0.39282870591144925,-0.2222271045505541,-0.3695277688251784,-0.6147892513730076,0.8580928565921777,-0.6227758276061703,0.6975402853372947,0.39969579728696014
370,Benin,2009,0.9760903743539106,-0.38609534857788586,-0.20978862903524365,-0.3692803225638869,-0.6150566562936688,0.8104223496058243,-0.5607003424525354,0.6526843995644229,-0.09882271971068528
371,Benin,2010,0.9760903743539106,-0.3788008781331922,-0.1967847682692373,-0.3690638070852568,-0.6153909124444954,0.7574551196209866,-0.5193166856834458,0.6227804757158417,-0.1220587522826095
372,Bhutan,1980,1.0744533618987147,-0.625438146130508,-0.5976429110126507,-0.37958800588581093,-0.6390562479230187,0.5614763686770871,-1.3987193920266043,1.8936972392805438,0.41025763027419854
373,Bhutan,1981,0.8777273868091063,-0.6251295339193863,-0.595946755260563,-0.3795524354857503,-0.6361147937957446,0.6356304906558601,-1.3366439068729694,1.774081543886219,1.7685093524330375
374,Bhutan,1982,0.7078276810498985,-0.6248209217082646,-0.5942505995084751,-0.3795416097118188,-0.6359142401052487,0.6885977206406977,-1.2745684217193345,1.6694178104161848,-0.17275555062135306
375,Bhutan,1983,0.6720593219426974,-0.624512309497143,-0.5925544437563874,-0.3795075858508912,-0.6333070421288012,0.7203780586316,-1.202147022373427,1.5498021150218597,1.060866542288075
376,Bhutan,1984,0.8330169379251041,-0.6241756416304649,-0.5908582880042995,-0.3794936669986936,-0.6327053810573133,0.7468616736240189,-1.1297256230275203,1.4451383815518255,0.6637416219679164
377,Bhutan,1985,1.0744533618987147,-0.6238109181082302,-0.5885967470015159,-0.37947820160736284,-0.6323042736763215,0.7733452886164377,-1.077996052066158,1.340474648081791,0.5538985589006387
378,Bhutan,1986,1.4321369529707302,-0.6233620276193259,-0.5863352059987321,-0.3794364450507699,-0.6295633732395433,0.7998289036088565,-1.0055746527202507,1.2507628765360475,2.338848333743903
379,Bhutan,1987,1.64674710761394,-0.6228850814748652,-0.5840736649959485,-0.3793189080766564,-0.6207390108577211,0.8263125186012754,-0.9228073391820713,1.1460991430660132,5.950995215379385
380,Bhutan,1988,1.4231948631939302,-0.6224081353304045,-0.5812467387424688,-0.3792926169113942,-0.6200704985560679,0.8474994105952107,-0.8503859398361638,1.0563873715202694,0.6172695568240681
381,Bhutan,1989,0.6810014117194975,-0.6220434118081698,-0.579550582990381,-0.37925240689393436,-0.6178644079606123,0.8474994105952107,-0.7883104546825289,0.9666755999745258,0.9425740128310064
382,Bhutan,1990,-0.35628100238934785,-0.6218470222192742,-0.5784198124889892,-0.37918745225034534,-0.6133185243093705,0.80512562660734,-0.7158890553366223,0.8769638284287822,1.7473856864585615
383,Bhutan,1991,-1.5359751382835163,-0.6218470222192742,-0.5784198124889892,-0.37919054532861146,-0.6135190779998665,0.8580928565921777,-0.6538135701829874,0.7872520568830385,-0.49806000662829125
384,Bhutan,1992,-2.5023825488214415,-0.6219873004970567,-0.579550582990381,-0.37915961454595004,-0.610510772642427,0.8898731945830807,-0.5917380850293525,0.6975402853372947,0.1272005062162133
