index,country,Date,population_growth_annual_percent.,population_total.,population_density_per_square_km.,total_gdp_us_inflation_adjusted.,gdppercapita_us_inflation_adjusted.,children_and_elderly_per_100_adults.,life_expectancy_years.,child_mortality_0_5_year_olds_dying_per_1000_born.,gdp_total_yearly_growth.
2759,Sri Lanka,1980,-0.05225775488518916,-0.21611035286068844,0.6988898508590651,-0.35870917338556074,-0.6053867936557077,-0.2383644047819036,0.21527537421574583,-0.284846156014087,0.4779247413856603
2760,Sri Lanka,1981,-0.1327485845073494,-0.20769239893826869,0.721508639094409,-0.35747175726600094,-0.6029129286578477,-0.2595544615965294,0.27736013197905957,-0.3401766789713554,0.6532773585964259
2761,Sri Lanka,1982,-0.20429598861593642,-0.2020804296566555,0.738472730270917,-0.35654369517633105,-0.6012413982538882,-0.29663706102212417,0.298055051233498,-0.39999346054678075,0.35961454182177044
2762,Sri Lanka,1983,-0.2490131161838033,-0.19646846037504234,0.7610915185062608,-0.35546095607171624,-0.5993024229852952,-0.33371966044771895,0.30840251086071646,-0.4628010812009774,0.4377837808193406
2763,Sri Lanka,1984,-0.26689996721095005,-0.18805050645262258,0.7780556096827688,-0.35422353995215644,-0.59662797433896,-0.3760997740769698,0.30840251086071646,-0.5256087018551739,0.41243159519850703
2764,Sri Lanka,1985,-0.26689996721095005,-0.1824385371710094,0.8006743979181127,-0.35298612383259664,-0.5939535256926248,-0.4078848592989078,0.36013980899681175,-0.5839300638912137,0.24552970652801934
2765,Sri Lanka,1986,-0.2579565416973767,-0.17682656788939624,0.8232931861534566,-0.35174870771303685,-0.5919476892078734,-0.4449674587245026,0.41187710713290704,-0.6362697477697109,0.3913047738478125
2766,Sri Lanka,1987,-0.26689996721095005,-0.17121459860778307,0.8402572773299645,-0.3512846766682019,-0.5919476892078734,-0.4873475723537534,0.41187710713290704,-0.6751506557937373,-0.4670779776309109
2767,Sri Lanka,1988,-0.2847868182380968,-0.1627966446853633,0.8628760655653084,-0.35066596860842203,-0.5912790770462896,-0.5297276859830047,0.4429194860145639,-0.7020682075026787,-0.11996430283899796
2768,Sri Lanka,1989,-0.3384473713195369,-0.15718467540375014,0.8854948538006523,-0.3498925835336972,-0.5906104648847058,-0.5721077996122556,0.5050042437778791,-0.7170224028965351,-0.11785162070392854
2769,Sri Lanka,1990,-0.40105134991455055,-0.15157270612213697,0.9024589449771602,-0.34803645935435745,-0.586598791915203,-0.6197854274451629,0.49465678415065917,-0.7230040810540777,0.6870802727575374
2770,Sri Lanka,1991,-0.4636553285095642,-0.1459607368405238,0.9250777332125041,-0.3464896892049077,-0.5839243432688679,-0.6727605694817266,0.49465678415065917,-0.7230040810540777,0.3194735812554505
2771,Sri Lanka,1992,-0.5173158815910045,-0.14034876755891063,0.9420418243890121,-0.3450975960704029,-0.5812498946225326,-0.7257357115182904,0.5567415419139744,-0.721508661514692,0.24764238866308877
2772,Sri Lanka,1993,-0.5978067112131648,-0.13473679827729745,0.95900591556552,-0.3426227638312833,-0.5765696094914461,-0.773413339351198,0.6291737593045081,-0.721508661514692,0.7272212333238572
2773,Sri Lanka,1994,-0.6943957067597573,-0.12912482899568428,0.9759700067420278,-0.34061196263699867,-0.5725579365219433,-0.8263884813877619,0.6395212189317265,-0.7259949201328489,0.41454427733357646
2774,Sri Lanka,1995,-0.8043998405767095,-0.1263188443548777,0.9872794008596998,-0.338446484427769,-0.5678776513908567,-0.8846611376279817,0.5567415419139744,-0.7334720178297771,0.39341745598288186
2775,Sri Lanka,1996,-0.9260304275613076,-0.12070687507326451,0.9985887949773717,-0.3368997142783193,-0.5652032027445215,-0.9429337938682019,0.5463940822867545,-0.7439399546054765,0.03003612875093399
2776,Sri Lanka,1997,-1.0297741635187585,-0.11790089043245792,1.0098981890950438,-0.3341155280093097,-0.5591856932902673,-1.011801478515735,0.5463940822867545,-0.7559033109205616,0.5708827553287168
2777,Sri Lanka,1998,-1.0816460314974843,-0.11509490579165134,1.0155528861538796,-0.33195004980008,-0.5545054081591807,-1.0806691631632677,0.5567415419139744,-0.7693620867750323,0.2117267923669079
2778,Sri Lanka,1999,-1.0646535230216947,-0.11228892115084475,1.0268622802715517,-0.3299392486057954,-0.5504937351896779,-1.1495368478108006,0.6084788400500697,-0.7813254430901173,0.15679705685510187
2779,Sri Lanka,2000,-0.9975778316698944,-0.10948293651003817,1.0381716743892235,-0.32684570830689585,-0.5444762257354238,-1.2025119898473642,0.6188262996772882,-0.7917933798658168,0.5645447089235084
