index,country,Date,population_growth_annual_percent.,population_total.,population_density_per_square_km.,total_gdp_us_inflation_adjusted.,gdppercapita_us_inflation_adjusted.,children_and_elderly_per_100_adults.,life_expectancy_years.,child_mortality_0_5_year_olds_dying_per_1000_born.,gdp_total_yearly_growth.
45,Grenada,2010,-1.2104313588929407,-0.6340617651088294,1.0834092508599114,-0.37870736464779653,-0.17339647605641614,-0.9853139074974532,0.4636144052690023,-0.8187109315747582,-0.735177340571226
46,Guatemala,2010,0.4038569463070528,-0.22733429142391479,0.11645605379895967,-0.31601831726074764,-0.47694639741546024,0.2807919871764212,0.4636144052690023,-0.5076636673825464,-0.03756969957128883
47,Guinea-Bissau,2010,0.6989899882549742,-0.5932346885850937,-0.3455326959079395,-0.37858362303584053,-0.6295905539050413,0.4609074701007375,-1.160936756204389,0.6677360905745615,0.07228977145232332
48,Guyana,2010,-1.4331226541809177,-0.6160473437148511,-0.6368061414085805,-0.3763887561937714,-0.46290554202220047,-0.5403227143903172,-0.13653825310970266,-0.47476443751606245,0.2391916601228109
49,Honduras,2010,0.2249884360355854,-0.40719790689961693,-0.24431361855477554,-0.35546095607171624,-0.537121491958002,-0.2383644047819036,0.49465678415065917,-0.6871140121088224,0.11454341415371254
50,Indonesia,2010,-0.35633422234668366,6.181534628178327,0.09949196262245173,0.7879115384015388,-0.45822525689111393,-1.1018592199778932,0.3187499704879364,-0.5390674777096447,0.5666573910585778
51,Iran,2010,-0.4725987540231376,1.4562564930600368,-0.39925231796688126,0.3733771383490059,-0.22955989762945514,-1.7110733533983764,0.7947331133400124,-0.7484262132236335,0.49482619846621606
52,Ireland,2010,-1.04944969964862,-0.5070909601123315,-0.2782418009077914,-0.03651695125517782,2.5899775877694196,-1.3296523307351176,1.4052332313459373,-0.974234563670864,-0.6482193438917668
53,Italy,2010,-1.2614088843203088,1.0381647815798556,0.489666059682134,2.914720493894945,1.7274678993263204,-1.0223965069230476,1.5397502064997848,-0.9772254027496353,-0.2953169200497635
54,Jamaica,2010,-1.1192084186544922,-0.5578792821109306,0.8119837920357846,-0.3594825584602856,-0.3532531475224577,-0.8899586518316381,0.8154280325944508,-0.766371247696261,-0.9713752032719921
55,Japan,2010,-1.5207682242139366,2.9827121376588197,1.3378706185075302,8.436689927430551,2.3091604799042242,-0.79990091036948,1.6535722623991937,-0.9891887590647204,0.3194735812554505
